"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSG00000104938",217.775308981664,-5.57998028032241,0.52711287064901,-7.7402402929356,9.92290957267531e-15,1.10666953325791e-12
"ENSG00000165682",84.1545646933999,-5.19566066381706,0.43352898167979,-8.5245988618743,1.5334029392016e-17,2.25155949163169e-15
"ENSG00000214856",7.43526149393844,-5.12392811863936,0.779832303170024,-4.64706078974681,3.36697968463876e-06,0.000108951435642463
"ENSG00000288669",2.37166587335543,-4.90334357707625,0.486195925817052,-6.99994260823336,2.56067381389982e-12,2.11364092774443e-10
"ENSG00000160339",477.548736908703,-4.89664207052018,0.370082934519211,-9.17805646708049,4.38941843688292e-20,8.6661355895756e-18
"ENSG00000019169",784.828187252314,-4.84168266798759,0.361412968862962,-9.24616147146248,2.32699510241489e-20,4.72186089531688e-18
"ENSG00000136011",197.428314124631,-4.81137497956423,0.285446511916141,-11.6006846863732,4.08794456677986e-31,3.14341421687651e-28
"ENSG00000263761",268.535449673718,-4.7084276773178,0.596645799167752,-5.37744115821006,7.55518927608937e-08,3.19945841517871e-06
"ENSG00000163217",83.2831537763381,-4.70126912151324,0.524232710793474,-6.10658025644342,1.01788463954411e-09,5.71972868605365e-08
"ENSG00000164619",98.5066195140296,-4.50206930542795,0.29959803307112,-10.0203238140596,1.24095695415669e-23,3.700077775557e-21
"ENSG00000145708",643.687136322915,-4.4679529396441,0.321747099819434,-9.22449010825498,2.84913204229685e-20,5.70216700519958e-18
"ENSG00000164100",13.2225647352934,-4.3485704851792,0.348772600716537,-8.16741475484868,3.15068224460361e-16,4.1283827438259e-14
"ENSG00000126838",1013.0457258646,-4.32908840383888,0.364094700446796,-7.77019934749718,7.83627005426683e-15,8.80676196098757e-13
"ENSG00000251049",4.15792544696604,-4.24186605119438,0.672103264961487,-4.0795309205223,4.51266674474922e-05,0.00120200658415289
"ENSG00000227729",2.08546037795492,-4.22080436208846,0.677835485129831,-4.01395976129418,5.97085297496552e-05,0.0015535914864514
"ENSG00000142748",1317.81238040109,-4.08758756447031,0.304818636222821,-8.48894147856102,2.08527691335256e-17,3.04658957040809e-15
"ENSG00000184374",434.328572623464,-3.9969745849053,0.309523403735867,-8.06715923502866,7.19526806862494e-16,9.0623160760871e-14
"ENSG00000277526",1.38078767892579,-3.88733706335787,0.28306455163521,-8.43389625994029,3.34343114611062e-17,4.78897343575256e-15
"ENSG00000175664",1.98904724984765,-3.88571559954643,0.447925148033994,-5.32614792899587,1.00317441491989e-07,4.1460758704327e-06
"ENSG00000095596",98.6460416852369,-3.82308210073227,0.37937936899516,-6.12337488695098,9.16137977260756e-10,5.22842806553892e-08
"ENSG00000181072",14.2493547295835,-3.77732772405866,0.475949240757505,-4.78481217962265,1.7114729809111e-06,5.89036990603327e-05
"ENSG00000287927",2.76476519867743,-3.76647808354553,0.45554153300863,-4.97534894036236,6.51302084622091e-07,2.4243371863258e-05
"ENSG00000100362",15.1589693339357,-3.66370852753422,0.320310198608275,-6.75504101004395,1.42794860452093e-11,1.07537778928097e-09
"ENSG00000165841",890.898276000846,-3.65155032975075,0.319542675914727,-6.73321747585577,1.65951729618921e-11,1.23073846179311e-09
"ENSG00000225053",1.50214396214555,-3.63404625014461,0.556058671876657,-3.83780769562025,0.000124137635556231,0.00303794113145148
"ENSG00000105697",6438.76777459063,-3.59268694661952,0.41735948918694,-5.01411133767748,5.3279130524203e-07,2.01139043141759e-05
"ENSG00000145824",416.506572222759,-3.56217276372885,0.393478627770485,-5.24087617010727,1.59815938621085e-07,6.49488418151335e-06
"ENSG00000183287",96.8864867478421,-3.51138577866589,0.318697448644358,-6.3112704140611,2.7675413121816e-10,1.69889825928459e-08
"ENSG00000229230",1.89537917255963,-3.50155381490806,0.516519755291559,-3.87507698283146,0.000106590996574666,0.0026283450800943
"ENSG00000185652",59.8740396111169,-3.49984415516835,0.250301980474192,-7.98972565610421,1.35239368187369e-15,1.65342859348741e-13
"ENSG00000114812",281.65527744671,-3.49111925124738,0.247300908461497,-8.05140289873777,8.18503402400546e-16,1.01773061353804e-13
