"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSG00000231764",19.0386654406514,5.57663140892582,0.64470376173683,6.3232629478435,2.56096955722208e-10,1.58877983995816e-08
"ENSG00000182379",243.278503994313,5.60468579174693,0.345507583027368,11.8801612276677,1.50077615644117e-32,1.51216135486934e-29
"ENSG00000281327",13.6048168732647,5.61608497500734,0.583507104177585,7.05404432189166,1.73790981872545e-12,1.45924496848154e-10
"ENSG00000228966",12.7571168637842,5.63986582640401,0.798551494313615,5.18421899637466,2.16921928243102e-07,8.6590966438025e-06
"ENSG00000249803",15.7102752111495,5.64825806051942,0.654384911992427,6.3391713111005,2.31004270598841e-10,1.44538432267626e-08
"ENSG00000069011",219.290003391814,5.64913122036914,0.423799849099811,9.79030839482899,1.23917348856856e-22,3.26204048071832e-20
"ENSG00000249550",86.5688140185684,5.65450669371906,0.506215191695361,8.20699726494821,2.26788731544429e-16,2.99853698449241e-14
"ENSG00000006377",15.7683922506813,5.65509191267581,0.711267481200412,5.84181341408049,5.16356221358283e-09,2.61489233762375e-07
"ENSG00000287453",12.453580328037,5.66102629478794,0.909146632790265,4.57684838145121,4.72033314269161e-06,0.000148950469146273
"ENSG00000198930",190.128672701903,5.66979569165011,0.576696104395966,7.23049047820007,4.81252734275532e-13,4.35362380666596e-11
"ENSG00000152931",20.2738009335071,5.67084714626861,0.665682237682709,6.26552266256592,3.71576953862057e-10,2.24792517429592e-08
"ENSG00000253293",73.0387242336442,5.67681553448455,0.42754468110253,9.76930767496299,1.52490522367201e-22,3.87458527266924e-20
"ENSG00000258125",11.3020862902955,5.6968924439732,0.809038497389543,5.18750647529748,2.13128516940784e-07,8.51930952805704e-06
"ENSG00000100373",398.611358789593,5.69878874693606,0.470261177794911,8.92863146097767,4.31311144794126e-19,7.63812827326326e-17
"ENSG00000163295",78.885175960037,5.70532030989913,0.597642532473961,7.03651444031446,1.9710823313235e-12,1.64557216346493e-10
"ENSG00000230316",48.4203956903569,5.70926580169169,0.470705155953174,8.94246801518026,3.80573985505886e-19,6.82231402238158e-17
"ENSG00000163993",2476.46164669104,5.70929756197308,0.425330064265208,9.89654368600765,4.30910380577671e-23,1.22244673014365e-20
"ENSG00000204832",187.424607406685,5.72527026899377,0.392787105319974,10.7571511685746,5.48393079768339e-27,2.50375715481732e-24
"ENSG00000253931",12.5317969291885,5.72851775779233,0.562646959416606,7.51540142006059,5.67365749799753e-14,5.8169920032101e-12
"ENSG00000250612",40.0387666797093,5.75240543346607,0.586888951307953,7.24567300847813,4.30297113833529e-13,3.92915052069241e-11
"ENSG00000254338",12.7422124319205,5.75319085391278,0.561338621568485,7.57687194590062,3.53985856846291e-14,3.73410351518001e-12
"ENSG00000255042",14.7408235038146,5.75435477405946,0.956298438277085,4.44877310656736,8.63621869365849e-06,0.000260962058147571
